event_id,entity_id,entity_type,timestamp,source_ip,geo_location,latitude,longitude,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,login_status,label,attack_type
aa9ab555,USER_125,user,2026-01-06 12:35:27,191.180.213.101,New York,40.7128,-74.006,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
79ac1bd2,USER_024,user,2026-02-12 10:29:58,195.213.91.56,New York,40.7128,-74.006,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
08c1c082,USER_103,user,2026-04-13 03:01:27,218.34.117.47,Pune,18.5204,73.8567,Finance_Server,MFA,120,login->finance->hr->git->logout,Ubuntu22_Lenovo,Success,Attack,Insider Drift
a41db9c8,USER_010,user,2026-04-20 15:02:18,150.178.189.234,Delhi,28.7041,77.1025,VPN,Password,1,login,iPhone16,Failure,Attack,Brute Force
cbf61a07,USER_176,user,2026-12-08 14:12:48,140.245.165.121,New York,40.7128,-74.006,Employee_API,Password,1,login,iPhone16,Failure,Attack,Brute Force
b72bc32b,USER_114,user,2026-03-24 02:35:47,160.182.33.208,Bangalore,12.9716,77.5946,Production_Server,Token,140,login->server->finance->git->logout,Ubuntu22_Lenovo,Success,Attack,Lateral Movement
8a6089cc,USER_165,user,2026-07-05 17:13:35,197.246.151.246,Hyderabad,17.385,78.4867,Production_Server,Token,140,login->server->finance->git->logout,Windows11_Dell,Success,Attack,Lateral Movement
4e1bcc37,USER_099,user,2026-03-17 13:14:18,139.17.214.205,Tokyo,35.6762,139.6503,Payroll_DB,MFA,180,login->download->download->download->logout,Windows10_HP,Success,Attack,Low and Slow
e21048e1,USER_104,user,2026-11-07 23:50:34,206.129.171.160,Mumbai,19.076,72.8777,Finance_Server,MFA,120,login->finance->hr->git->logout,MacOS_M2,Success,Attack,Insider Drift
9b09b8b7,USER_166,user,2026-01-11 13:51:17,168.102.8.65,London,51.5072,-0.1276,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
1539f37a,USER_179,user,2026-10-16 20:04:44,166.166.189.26,New York,40.7128,-74.006,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
1e8a8ab1,USER_142,user,2026-10-05 08:14:28,185.92.11.236,Unknown,0.0,0.0,Login Portal,Password,1,login,Bot_Device,Failure,Attack,Credential Stuffing
35cc3e0a,USER_043,user,2026-08-05 05:59:03,1.27.217.227,Pune,18.5204,73.8567,HR_Portal,Password,1,login,iPhone16,Failure,Attack,Brute Force
f43cf7cc,USER_141,user,2026-02-05 06:05:15,158.154.21.112,London,51.5072,-0.1276,Finance_Server,Password,25,login,Spoofed_Device,Success,Attack,Device Spoofing
d47f22bf,USER_126,user,2026-05-06 21:58:29,185.92.11.13,Unknown,0.0,0.0,Login Portal,Password,1,login,Bot_Device,Failure,Attack,Credential Stuffing
118339c2,USER_172,user,2026-07-22 06:19:35,149.53.6.167,London,51.5072,-0.1276,Payroll_DB,MFA,180,login->download->download->download->logout,iPhone16,Success,Attack,Low and Slow
71d3ea56,USER_169,user,2026-10-23 14:45:19,211.47.19.235,Hyderabad,17.385,78.4867,Production_Server,Token,140,login->server->finance->git->logout,iPhone16,Success,Attack,Lateral Movement
cce0b3f4,USER_073,user,2026-03-11 09:25:40,201.16.233.179,Mumbai,19.076,72.8777,Finance_Server,Password,25,login,Spoofed_Device,Success,Attack,Device Spoofing
2adc25c8,USER_189,user,2026-09-13 01:26:49,185.92.11.192,Unknown,0.0,0.0,Login Portal,Password,1,login,Bot_Device,Failure,Attack,Credential Stuffing
d1b71164,USER_005,user,2026-01-04 11:51:30,73.113.138.106,Singapore,1.3521,103.8198,Payroll_DB,MFA,180,login->download->download->download->logout,Windows11_Dell,Success,Attack,Low and Slow
ede50e9b,USER_149,user,2026-11-10 10:11:12,209.7.97.221,New York,40.7128,-74.006,Finance_Server,MFA,120,login->finance->hr->git->logout,Android_Device,Success,Attack,Insider Drift
2f05e502,USER_002,user,2026-11-27 06:12:27,102.231.156.66,Hyderabad,17.385,78.4867,CRM,Password,25,login,Spoofed_Device,Success,Attack,Device Spoofing
11234d2e,USER_161,user,2026-05-26 10:05:10,218.51.78.88,Delhi,28.7041,77.1025,Production_Server,Token,140,login->server->finance->git->logout,Windows10_HP,Success,Attack,Lateral Movement
1816da96,USER_169,user,2026-05-17 12:42:27,209.251.185.50,Hyderabad,17.385,78.4867,Finance_Server,MFA,120,login->finance->hr->git->logout,iPhone16,Success,Attack,Insider Drift
eeaa5f45,USER_011,user,2026-03-25 15:10:15,185.92.11.17,Unknown,0.0,0.0,Login Portal,Password,1,login,Bot_Device,Failure,Attack,Credential Stuffing
e269f7ae,USER_176,user,2026-08-03 08:44:36,193.122.114.102,New York,40.7128,-74.006,Payroll_DB,MFA,180,login->download->download->download->logout,iPhone16,Success,Attack,Low and Slow
3068815a,USER_132,user,2026-01-12 01:52:24,139.106.20.164,Pune,18.5204,73.8567,Email_Server,Password,25,login,Spoofed_Device,Success,Attack,Device Spoofing
9c8beec7,USER_007,user,2026-03-08 09:57:28,215.146.220.64,Mumbai,19.076,72.8777,Production_Server,Token,140,login->server->finance->git->logout,iPhone16,Success,Attack,Lateral Movement
b58b7338,USER_134,user,2026-03-12 00:41:01,162.35.247.132,Tokyo,35.6762,139.6503,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
fc7a69e5,USER_164,user,2026-05-06 16:59:05,211.146.97.89,Singapore,1.3521,103.8198,Production_Server,Token,140,login->server->finance->git->logout,Android_Device,Success,Attack,Lateral Movement
708be512,USER_078,user,2026-11-13 22:10:36,185.92.11.222,Unknown,0.0,0.0,Login Portal,Password,1,login,Bot_Device,Failure,Attack,Credential Stuffing
166edf19,USER_048,user,2026-03-05 15:50:54,97.17.224.106,Bangalore,12.9716,77.5946,Finance_Server,MFA,120,login->finance->hr->git->logout,Windows11_Dell,Success,Attack,Insider Drift
d61e5c30,USER_135,user,2026-03-19 03:28:35,180.3.154.29,London,51.5072,-0.1276,VPN,Password,20,login->vpn,Unknown_Device,Success,Attack,Impossible Travel
60c86312,USER_138,user,2026-05-01 10:49:52,23.147.84.43,Pune,18.5204,73.8567,Payroll_DB,MFA,180,login->download->download->download->logout,MacOS_M2,Success,Attack,Low and Slow
a2ac6cac,USER_071,user,2026-04-03 11:28:36,223.193.35.187,Delhi,28.7041,77.1025,Finance_Server,MFA,120,login->finance->hr->git->logout,Ubuntu22_Lenovo,Success,Attack,Insider Drift
d7820cca,USER_058,user,2026-11-23 01:36:29,51.60.123.53,Tokyo,35.6762,139.6503,HR_Portal,Password,25,login,Spoofed_Device,Success,Attack,Device Spoofing
